"la"
"Aberdeen City"
"Aberdeenshire"
"Angus Council"
"Argyll and Bute Council"
"Clackmannanshire"
"Dumfries and Galloway"
"Dundee City Council"
"East Ayrshire Council"
"East Dunbartonshire Council"
"East Lothian Council"
"East Renfrewshire Council"
"Edinburgh"
"Falkirk"
"Fife"
"Glasgow City"
"Highland Council"
"Inverclyde"
"Midlothian"
"Moray"
"Na h-Eileanan an Iar"
"North Ayrshire Council"
"North Lanarkshire"
"Orkney"
"Perth and Kinross"
"Renfrewshire"
"Scottish Borders"
"Shetland Islands"
"South Ayrshire Council"
"South Lanarkshire"
"Stirling"
"West Dunbartonshire Council"
"West Lothian"
